([30, 48], 0, {'feature': 30, 0: {'feature': 48, 0: -1, 1: -1}, 1: {'feature': 48, 0: -1, 1: -1}}, 0.86)
([30, 48], 1, {'feature': 30, 0: {'feature': 48, 0: -1, 1: -1}, 1: {'feature': 48, 0: -1, 1: -1}}, 0.9013043478260869)
([30, 48], 2, {'feature': 48, 0: {'feature': 30, 0: -1, 1: 2}, 1: {'feature': 30, 0: 2, 1: -1}}, 0.5130434782608696)
([30, 48], 3, {'feature': 48, 0: {'feature': 30, 0: -1, 1: -1}, 1: {'feature': 30, 0: -1, 1: -1}}, 0.88)
([30, 48], 4, {'feature': 30, 0: {'feature': 48, 0: -1, 1: -1}, 1: {'feature': 48, 0: -1, 1: -1}}, 0.8565217391304348)
([130, 215], 0, {'feature': 130, 0: {'feature': 215, 0: -1, 1: -1}, 1: {'feature': 215, 0: -1, 1: -1}}, 0.86)
([130, 215], 1, {'feature': 215, 0: {'feature': 130, 0: -1, 1: -1}, 1: {'feature': 130, 0: -1, 1: -1}}, 0.9013043478260869)
([130, 215], 2, {'feature': 215, 0: {'feature': 130, 0: -1, 1: -1}, 1: {'feature': 130, 0: 2, 1: -1}}, 0.51)
([130, 215], 3, {'feature': 215, 0: {'feature': 130, 0: -1, 1: -1}, 1: {'feature': 130, 0: -1, 1: -1}}, 0.88)
([130, 215], 4, {'feature': 215, 0: {'feature': 130, 0: -1, 1: -1}, 1: {'feature': 130, 0: -1, 1: -1}}, 0.8565217391304348)
([51, 35], 0, {'feature': 35, 0: {'feature': 51, 0: -1, 1: -1}, 1: -1}, 0.86)
([51, 35], 1, {'feature': 51, 0: {'feature': 35, 0: -1, 1: -1}, 1: {'feature': 35, 0: -1, 1: -1}}, 0.9013043478260869)
([51, 35], 2, {'feature': 51, 0: {'feature': 35, 0: 2, 1: 2}, 1: {'feature': 35, 0: -1, 1: 2}}, 0.52)
([51, 35], 3, {'feature': 51, 0: {'feature': 35, 0: -1, 1: -1}, 1: {'feature': 35, 0: -1, 1: -1}}, 0.88)
([51, 35], 4, {'feature': 51, 0: {'feature': 35, 0: -1, 1: -1}, 1: {'feature': 35, 0: -1, 1: -1}}, 0.8565217391304348)
([104, 154], 0, {'feature': 104, 0: {'feature': 154, 0: -1, 1: -1}, 1: {'feature': 154, 0: -1, 1: -1}}, 0.86)
([104, 154], 1, {'feature': 104, 0: {'feature': 154, 0: -1, 1: -1}, 1: {'feature': 154, 0: -1, 1: -1}}, 0.9013043478260869)
([104, 154], 2, {'feature': 154, 0: {'feature': 104, 0: 2, 1: 2}, 1: {'feature': 104, 0: -1, 1: -1}}, 0.5134782608695653)
([104, 154], 3, {'feature': 104, 0: {'feature': 154, 0: -1, 1: -1}, 1: {'feature': 154, 0: -1, 1: -1}}, 0.88)
([104, 154], 4, {'feature': 154, 0: {'feature': 104, 0: -1, 1: -1}, 1: {'feature': 104, 0: -1, 1: -1}}, 0.8565217391304348)
([53, 2], 0, {'feature': 2, 0: {'feature': 53, 0: -1, 1: -1}, 1: {'feature': 53, 0: -1, 1: -1}}, 0.86)
([53, 2], 1, {'feature': 2, 0: {'feature': 53, 0: -1, 1: -1}, 1: {'feature': 53, 0: -1, 1: -1}}, 0.9013043478260869)
([53, 2], 2, {'feature': 53, 0: {'feature': 2, 0: 2, 1: -1}, 1: {'feature': 2, 0: -1, 1: -1}}, 0.5226086956521739)
([53, 2], 3, {'feature': 53, 0: {'feature': 2, 0: -1, 1: -1}, 1: {'feature': 2, 0: -1, 1: -1}}, 0.88)
([53, 2], 4, {'feature': 53, 0: {'feature': 2, 0: -1, 1: -1}, 1: {'feature': 2, 0: -1, 1: -1}}, 0.8565217391304348)
([156, 122], 0, {'feature': 122, 0: {'feature': 156, 0: -1, 1: -1}, 1: {'feature': 156, 0: -1, 1: -1}}, 0.86)
([156, 122], 1, {'feature': 156, 0: {'feature': 122, 0: -1, 1: -1}, 1: {'feature': 122, 0: -1, 1: 1}}, 0.9017391304347826)
([156, 122], 2, {'feature': 156, 0: {'feature': 122, 0: -1, 1: 2}, 1: {'feature': 122, 0: 2, 1: -1}}, 0.5082608695652174)
([156, 122], 3, {'feature': 122, 0: {'feature': 156, 0: -1, 1: -1}, 1: {'feature': 156, 0: -1, 1: -1}}, 0.88)
([156, 122], 4, {'feature': 122, 0: {'feature': 156, 0: -1, 1: -1}, 1: {'feature': 156, 0: -1, 1: -1}}, 0.8565217391304348)
([31, 44], 0, {'feature': 44, 0: {'feature': 31, 0: -1, 1: -1}, 1: {'feature': 31, 0: -1, 1: -1}}, 0.86)
([31, 44], 1, {'feature': 31, 0: {'feature': 44, 0: -1, 1: -1}, 1: {'feature': 44, 0: -1, 1: -1}}, 0.9013043478260869)
([31, 44], 2, {'feature': 44, 0: {'feature': 31, 0: -1, 1: 2}, 1: {'feature': 31, 0: -1, 1: -1}}, 0.5217391304347826)
([31, 44], 3, {'feature': 31, 0: {'feature': 44, 0: -1, 1: -1}, 1: {'feature': 44, 0: -1, 1: -1}}, 0.88)
([31, 44], 4, {'feature': 44, 0: {'feature': 31, 0: -1, 1: -1}, 1: {'feature': 31, 0: -1, 1: -1}}, 0.8565217391304348)
([80, 20], 0, {'feature': 20, 0: {'feature': 80, 0: -1, 1: -1}, 1: {'feature': 80, 0: -1, 1: -1}}, 0.86)
([80, 20], 1, {'feature': 20, 0: {'feature': 80, 0: -1, 1: -1}, 1: {'feature': 80, 0: -1, 1: -1}}, 0.9013043478260869)
([80, 20], 2, {'feature': 80, 0: {'feature': 20, 0: -1, 1: 2}, 1: {'feature': 20, 0: -1, 1: 2}}, 0.5178260869565218)
([80, 20], 3, {'feature': 80, 0: {'feature': 20, 0: -1, 1: -1}, 1: {'feature': 20, 0: -1, 1: -1}}, 0.88)
([80, 20], 4, {'feature': 80, 0: {'feature': 20, 0: -1, 1: -1}, 1: {'feature': 20, 0: -1, 1: -1}}, 0.8565217391304348)
([213, 220], 0, {'feature': 220, 0: {'feature': 213, 0: -1, 1: -1}, 1: {'feature': 213, 0: -1, 1: -1}}, 0.86)
([213, 220], 1, {'feature': 213, 0: {'feature': 220, 0: -1, 1: -1}, 1: {'feature': 220, 0: -1, 1: -1}}, 0.9013043478260869)
([213, 220], 2, {'feature': 213, 0: {'feature': 220, 0: 2, 1: -1}, 1: {'feature': 220, 0: -1, 1: -1}}, 0.5378260869565218)
([213, 220], 3, {'feature': 213, 0: {'feature': 220, 0: -1, 1: -1}, 1: {'feature': 220, 0: -1, 1: -1}}, 0.88)
([213, 220], 4, {'feature': 213, 0: {'feature': 220, 0: -1, 1: -1}, 1: {'feature': 220, 0: -1, 1: -1}}, 0.8565217391304348)
([165, 162], 0, {'feature': 162, 0: {'feature': 165, 0: -1, 1: -1}, 1: {'feature': 165, 0: -1, 1: -1}}, 0.86)
([165, 162], 1, {'feature': 162, 0: {'feature': 165, 0: -1, 1: -1}, 1: {'feature': 165, 0: -1, 1: -1}}, 0.9013043478260869)
([165, 162], 2, {'feature': 162, 0: {'feature': 165, 0: 2, 1: 2}, 1: {'feature': 165, 0: -1, 1: -1}}, 0.5217391304347826)
([165, 162], 3, {'feature': 162, 0: {'feature': 165, 0: -1, 1: -1}, 1: {'feature': 165, 0: -1, 1: -1}}, 0.88)
([165, 162], 4, {'feature': 162, 0: {'feature': 165, 0: -1, 1: -1}, 1: {'feature': 165, 0: -1, 1: -1}}, 0.8565217391304348)
([174, 168], 0, {'feature': 174, 0: {'feature': 168, 0: -1, 1: -1}, 1: {'feature': 168, 0: -1, 1: -1}}, 0.86)
([174, 168], 1, {'feature': 168, 0: {'feature': 174, 0: -1, 1: -1}, 1: {'feature': 174, 0: -1, 1: 1}}, 0.9017391304347826)
([174, 168], 2, {'feature': 174, 0: {'feature': 168, 0: 2, 1: -1}, 1: {'feature': 168, 0: -1, 1: -1}}, 0.5034782608695653)
